,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
720,filter160$\longleftrightarrow$filter199,19158,M1605_1.02,0.013323500000000002,M0607_1.02,0.039024500000000004,162.0,252.0,150.0,372.0,0.002601280622291729,0.0029278204458113768,SOX1,KDM2B,SOX1$\longleftrightarrow$KDM2B,Sox,CxxC,Sox$\longleftrightarrow$CxxC
721,filter161$\longleftrightarrow$filter162,19159,M4459_1.02,0.0224206,M0609_1.02,0.0188738,276.0,426.0,177.0,228.0,0.0001427160564776155,0.00018724864293827293,EGR1,DNMT1,DNMT1$\longleftrightarrow$EGR1,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
722,filter161$\longleftrightarrow$filter166,19163,M4459_1.02,0.0224206,M0891_1.02,0.00381039,96.0,402.0,237.0,277.0,0.0018683466527217028,0.0021407298040364213,EGR1,TLX2,TLX2$\longleftrightarrow$EGR1,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
723,filter161$\longleftrightarrow$filter170,19167,M4459_1.02,0.0224206,M1592_1.02,0.00168537,144.0,198.0,177.0,214.0,2.76066252199171e-06,4.773052041010109e-06,EGR1,SOX3,SOX3$\longleftrightarrow$EGR1,C2H2 ZF,Sox,Sox$\longleftrightarrow$C2H2 ZF
724,filter161$\longleftrightarrow$filter172,19169,M4459_1.02,0.0224206,M1605_1.02,0.000319962,384.0,366.0,157.0,209.0,2.7339941553631765e-06,4.741154149878725e-06,EGR1,SOX1,SOX1$\longleftrightarrow$EGR1,C2H2 ZF,Sox,Sox$\longleftrightarrow$C2H2 ZF
725,filter161$\longleftrightarrow$filter173,19170,M4459_1.02,0.0224206,M0607_1.02,0.00901742,132.0,228.0,269.0,231.0,6.032738754861811e-06,9.862458888918924e-06,EGR1,KDM2B,EGR1$\longleftrightarrow$KDM2B,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
726,filter161$\longleftrightarrow$filter174,19171,M4459_1.02,0.0224206,M1007_1.02,0.0111757,102.0,48.0,250.0,256.0,2.6243671803121416e-06,4.572173363400957e-06,EGR1,HOXA11,EGR1$\longleftrightarrow$HOXA11,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
727,filter161$\longleftrightarrow$filter183,19180,M4459_1.02,0.0224206,M1605_1.02,0.000761008,30.0,42.0,223.0,265.0,3.884166571276716e-08,1.0468503129867727e-07,EGR1,SOX1,SOX1$\longleftrightarrow$EGR1,C2H2 ZF,Sox,Sox$\longleftrightarrow$C2H2 ZF
728,filter161$\longleftrightarrow$filter186,19183,M4459_1.02,0.0224206,M0891_1.02,0.030916500000000003,96.0,54.0,135.0,210.0,4.050018900754324e-05,5.780811731435432e-05,EGR1,TLX2,TLX2$\longleftrightarrow$EGR1,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
729,filter161$\longleftrightarrow$filter187,19184,M4459_1.02,0.0224206,M0607_1.02,0.00286974,90.0,264.0,165.0,196.0,4.1286603487278103e-10,1.7223493958061099e-09,EGR1,KDM2B,EGR1$\longleftrightarrow$KDM2B,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
730,filter161$\longleftrightarrow$filter189,19186,M4459_1.02,0.0224206,M1605_1.02,0.0375479,546.0,336.0,170.0,174.0,0.00034905807629140653,0.0004391509315555522,EGR1,SOX1,SOX1$\longleftrightarrow$EGR1,C2H2 ZF,Sox,Sox$\longleftrightarrow$C2H2 ZF
731,filter161$\longleftrightarrow$filter193,19190,M4459_1.02,0.0224206,M0891_1.02,0.00465549,24.0,24.0,271.0,257.0,7.507270333481727e-07,1.4668902069657666e-06,EGR1,TLX2,TLX2$\longleftrightarrow$EGR1,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
